sensor_feature,survey_item,correlation,p_value,p_adjusted,effect_size,n_samples,ci_lower,ci_upper,method,interpretation,significant,meaningful
home_stay_ratio_mean,Q2_score,0.4339,0.0025931727773605305,0.3787178005233658,0.4339,46,0.1642,0.6431,spearman,medium,false,1.0
home_stay_ratio_mean,Q3_score,0.2321,0.12058580504195474,0.5953541125090054,0.2321,46,-0.0624,0.4894,spearman,small,false,0.0
home_stay_ratio_mean,Q4_score,0.176,0.24211164922163786,0.6228657935237635,0.176,46,-0.1205,0.4436,spearman,small,false,0.0
home_stay_ratio_mean,Q5_score,0.1721,0.25279035017673707,0.6319758754418426,0.1721,46,-0.1244,0.4404,spearman,small,false,0.0
home_stay_ratio_mean,Q6_score,0.2491,0.09506544584614367,0.5534540249949645,0.2491,46,-0.0444,0.503,spearman,small,false,0.0
home_stay_ratio_mean,Q7_score,0.2822,0.05742764717236972,0.45942117737895777,0.2822,46,-0.0088,0.5291,spearman,small,false,0.0
home_stay_ratio_mean,Q8_score,0.3807,0.009060018304475453,0.3787178005233658,0.3807,46,0.1016,0.6042,spearman,medium,false,1.0
home_stay_ratio_mean,Q9_score,0.1126,0.45634708887737274,0.7920804676674179,0.1126,46,-0.1837,0.3901,spearman,small,false,0.0
home_stay_ratio_std,total_score,-0.1652,0.2727021386311851,0.6651271673931344,0.1652,46,-0.4346,0.1314,spearman,small,false,0.0
home_stay_ratio_std,Q1_score,-0.1883,0.2101816063457502,0.6181811951345594,0.1883,46,-0.4538,0.1079,spearman,small,false,0.0
home_stay_ratio_std,Q2_score,-0.1555,0.3021001874413615,0.6750051899693191,0.1555,46,-0.4265,0.1412,spearman,small,false,0.0
home_stay_ratio_std,Q3_score,-0.323,0.028548609849263638,0.3787178005233658,0.323,46,-0.5607,-0.0361,spearman,medium,false,1.0
home_stay_ratio_std,Q4_score,-0.1089,0.4712878782621136,0.7920804676674179,0.1089,46,-0.387,0.1873,spearman,small,false,0.0
home_stay_ratio_std,Q5_score,-0.0467,0.757973935757324,0.9408138810480173,0.0467,46,-0.3325,0.247,spearman,negligible,false,0.0
home_stay_ratio_std,Q6_score,-0.0048,0.9746246975484736,0.988856307388492,0.0048,46,-0.2947,0.2859,spearman,negligible,false,0.0
home_stay_ratio_std,Q7_score,-0.174,0.24756775590882904,0.6267538124274152,0.174,46,-0.4419,0.1225,spearman,small,false,0.0
home_stay_ratio_std,Q8_score,-0.1635,0.27750490316689175,0.6686865136551609,0.1635,46,-0.4333,0.1331,spearman,small,false,0.0
home_stay_ratio_std,Q9_score,0.2883,0.05205714530860641,0.43380954423838675,0.2883,46,-0.0022,0.5339,spearman,small,false,0.0
n_locations_mean,total_score,-0.2152,0.15099982634605805,0.5953541125090054,0.2152,46,-0.4757,0.0801,spearman,small,false,0.0
n_locations_mean,Q1_score,-0.0965,0.5233059797806795,0.8176655934073117,0.0965,46,-0.3763,0.1993,spearman,negligible,false,0.0
n_locations_mean,Q2_score,-0.2559,0.08605519867939526,0.5534540249949645,0.2559,46,-0.5084,0.0372,spearman,small,false,0.0
n_locations_mean,Q3_score,-0.0844,0.576942593263833,0.8666128063832211,0.0844,46,-0.3658,0.211,spearman,negligible,false,0.0
n_locations_mean,Q4_score,-0.1147,0.4480258299927602,0.7920804676674179,0.1147,46,-0.3919,0.1817,spearman,small,false,0.0
n_locations_mean,Q5_score,0.042,0.7815502281543754,0.94565083106052,0.042,46,-0.2513,0.3283,spearman,negligible,false,0.0
n_locations_mean,Q6_score,-0.1507,0.3173820379776662,0.6855217214973214,0.1507,46,-0.4225,0.146,spearman,small,false,0.0
n_locations_mean,Q7_score,-0.1563,0.29948718704007105,0.6750051899693191,0.1563,46,-0.4272,0.1403,spearman,small,false,0.0
n_locations_mean,Q8_score,-0.219,0.14363449257353533,0.5953541125090054,0.219,46,-0.4789,0.0761,spearman,small,false,0.0
n_locations_mean,Q9_score,-0.1227,0.41669468077813143,0.7668290074742448,0.1227,46,-0.3988,0.1738,spearman,small,false,0.0
n_locations_std,total_score,-0.2596,0.08148719125465273,0.5432479416976849,0.2596,46,-0.5113,0.0332,spearman,small,false,0.0
n_locations_std,Q1_score,-0.159,0.29133364269522855,0.6750051899693191,0.159,46,-0.4294,0.1377,spearman,small,false,0.0
n_locations_std,Q2_score,-0.2955,0.046166166125761535,0.4258200201998237,0.2955,46,-0.5395,-0.0057,spearman,small,false,0.0
n_locations_std,Q3_score,-0.2489,0.09533932007895074,0.5534540249949645,0.2489,46,-0.5028,0.0446,spearman,small,false,0.0
n_locations_std,Q4_score,-0.0922,0.5424084668032677,0.8344745643127195,0.0922,46,-0.3725,0.2036,spearman,negligible,false,0.0
n_locations_std,Q5_score,-0.0372,0.8063596324096584,0.9542717543309567,0.0372,46,-0.324,0.2559,spearman,negligible,false,0.0
n_locations_std,Q6_score,-0.2186,0.14432808650276582,0.5953541125090054,0.2186,46,-0.4786,0.0765,spearman,small,false,0.0
n_locations_std,Q7_score,-0.1556,0.30172684108054126,0.6750051899693191,0.1556,46,-0.4266,0.141,spearman,small,false,0.0
n_locations_std,Q8_score,-0.1278,0.3973148098673793,0.7668290074742448,0.1278,46,-0.4031,0.1688,spearman,small,false,0.0
n_locations_std,Q9_score,0.0035,0.981405138424938,0.988856307388492,0.0035,46,-0.2871,0.2935,spearman,negligible,false,0.0
total_distance_mean,total_score,-0.3162,0.032273712384870805,0.3787178005233658,0.3162,46,-0.5555,-0.0285,spearman,medium,false,1.0
total_distance_mean,Q1_score,-0.1311,0.3850082520886168,0.7668290074742448,0.1311,46,-0.406,0.1655,spearman,small,false,0.0
total_distance_mean,Q2_score,-0.3749,0.010263901568155763,0.3787178005233658,0.3749,46,-0.5999,-0.0949,spearman,medium,false,1.0
total_distance_mean,Q3_score,-0.206,0.16967592206506651,0.5953541125090054,0.206,46,-0.4683,0.0897,spearman,small,false,0.0
total_distance_mean,Q4_score,-0.0424,0.7798126706157958,0.94565083106052,0.0424,46,-0.3286,0.251,spearman,negligible,false,0.0
total_distance_mean,Q5_score,-0.161,0.2851449396196367,0.6750051899693191,0.161,46,-0.4311,0.1356,spearman,small,false,0.0
total_distance_mean,Q6_score,-0.3199,0.030239258993723848,0.3787178005233658,0.3199,46,-0.5583,-0.0326,spearman,medium,false,1.0
total_distance_mean,Q7_score,-0.176,0.24189844909581326,0.6228657935237635,0.176,46,-0.4437,0.1204,spearman,small,false,0.0
total_distance_mean,Q8_score,-0.2283,0.12701474700550713,0.5953541125090054,0.2283,46,-0.4864,0.0664,spearman,small,false,0.0
total_distance_mean,Q9_score,-0.0989,0.5129755128983503,0.8078354533832288,0.0989,46,-0.3784,0.197,spearman,negligible,false,0.0
total_distance_std,total_score,-0.2505,0.09318245552437165,0.5534540249949645,0.2505,46,-0.5041,0.043,spearman,small,false,0.0
total_distance_std,Q1_score,-0.0572,0.7057020109734518,0.9408138810480173,0.0572,46,-0.3418,0.237,spearman,negligible,false,0.0
total_distance_std,Q2_score,-0.3265,0.026789469932310548,0.3787178005233658,0.3265,46,-0.5634,-0.04,spearman,medium,false,1.0
total_distance_std,Q3_score,-0.1388,0.3577586726525368,0.7531761529527091,0.1388,46,-0.4124,0.1579,spearman,small,false,0.0
total_distance_std,Q4_score,0.0205,0.8921855165843966,0.9644679867902842,0.0205,46,-0.2714,0.309,spearman,negligible,false,0.0
total_distance_std,Q5_score,-0.1224,0.41792180907346343,0.7668290074742448,0.1224,46,-0.3985,0.1741,spearman,small,false,0.0
total_distance_std,Q6_score,-0.3031,0.04056800182123173,0.40568001821231725,0.3031,46,-0.5454,-0.0141,spearman,medium,false,1.0
total_distance_std,Q7_score,-0.1913,0.2027872125609753,0.6181811951345594,0.1913,46,-0.4563,0.1048,spearman,small,false,0.0
total_distance_std,Q8_score,-0.246,0.09937776437135035,0.5534540249949645,0.246,46,-0.5005,0.0477,spearman,small,false,0.0
total_distance_std,Q9_score,-0.0222,0.8835103018068149,0.9644679867902842,0.0222,46,-0.3105,0.2698,spearman,negligible,false,0.0
radius_of_gyration_mean,total_score,-0.3437,0.01934810875450266,0.3787178005233658,0.3437,46,-0.5765,-0.0593,spearman,medium,false,1.0
radius_of_gyration_mean,Q1_score,-0.131,0.3855034595772311,0.7668290074742448,0.131,46,-0.4059,0.1656,spearman,small,false,0.0
radius_of_gyration_mean,Q2_score,-0.3906,0.007273511512387032,0.3787178005233658,0.3906,46,-0.6116,-0.1132,spearman,medium,false,1.0
radius_of_gyration_mean,Q3_score,-0.2232,0.1358620530115665,0.5953541125090054,0.2232,46,-0.4823,0.0717,spearman,small,false,0.0
radius_of_gyration_mean,Q4_score,-0.0295,0.845610865712577,0.9627372374538287,0.0295,46,-0.3171,0.263,spearman,negligible,false,0.0
radius_of_gyration_mean,Q5_score,-0.1763,0.2412292176814294,0.6228657935237635,0.1763,46,-0.4439,0.1202,spearman,small,false,0.0
radius_of_gyration_mean,Q6_score,-0.3402,0.02069197150889026,0.3787178005233658,0.3402,46,-0.5739,-0.0554,spearman,medium,false,1.0
radius_of_gyration_mean,Q7_score,-0.1827,0.22413118315095157,0.6228657935237635,0.1827,46,-0.4492,0.1136,spearman,small,false,0.0
radius_of_gyration_mean,Q8_score,-0.2426,0.10434511678308418,0.5640276582869416,0.2426,46,-0.4978,0.0514,spearman,small,false,0.0
radius_of_gyration_mean,Q9_score,-0.0348,0.8182373464664271,0.9626321723134437,0.0348,46,-0.3219,0.2581,spearman,negligible,false,0.0
radius_of_gyration_std,total_score,-0.2788,0.06060408150585496,0.46618524235273046,0.2788,46,-0.5265,0.0125,spearman,small,false,0.0
radius_of_gyration_std,Q1_score,-0.0828,0.5843391983547257,0.8666128063832211,0.0828,46,-0.3643,0.2126,spearman,negligible,false,0.0
radius_of_gyration_std,Q2_score,-0.3464,0.01834515980080188,0.3787178005233658,0.3464,46,-0.5786,-0.0624,spearman,medium,false,1.0
radius_of_gyration_std,Q3_score,-0.177,0.2392989552411345,0.6228657935237635,0.177,46,-0.4445,0.1194,spearman,small,false,0.0
radius_of_gyration_std,Q4_score,0.008,0.958103760953616,0.9877358360346558,0.008,46,-0.283,0.2976,spearman,negligible,false,0.0
radius_of_gyration_std,Q5_score,-0.1154,0.4448581139173794,0.7920804676674179,0.1154,46,-0.3926,0.1809,spearman,small,false,0.0
radius_of_gyration_std,Q6_score,-0.3313,0.02452264160208921,0.3787178005233658,0.3313,46,-0.567,-0.0453,spearman,medium,false,1.0
radius_of_gyration_std,Q7_score,-0.1948,0.1944968206747466,0.6181811951345594,0.1948,46,-0.4591,0.1012,spearman,small,false,0.0
radius_of_gyration_std,Q8_score,-0.2225,0.13730098131896645,0.5953541125090054,0.2225,46,-0.4816,0.0725,spearman,small,false,0.0
radius_of_gyration_std,Q9_score,0.0404,0.7898715841327784,0.9459539929733873,0.0404,46,-0.2529,0.3269,spearman,negligible,false,0.0
unlock_count_mean,total_score,-0.2124,0.1564757865772919,0.5953541125090054,0.2124,46,-0.4735,0.083,spearman,small,false,0.0
unlock_count_mean,Q1_score,-0.0153,0.9196062008227006,0.9835360436606423,0.0153,46,-0.3042,0.2762,spearman,negligible,false,0.0
unlock_count_mean,Q2_score,-0.0278,0.8546943741844468,0.9627372374538287,0.0278,46,-0.3155,0.2647,spearman,negligible,false,0.0
unlock_count_mean,Q3_score,-0.1097,0.46814970034826575,0.7920804676674179,0.1097,46,-0.3876,0.1866,spearman,small,false,0.0
unlock_count_mean,Q4_score,-0.0878,0.5616848363804199,0.8510376308794241,0.0878,46,-0.3687,0.2078,spearman,negligible,false,0.0
unlock_count_mean,Q5_score,-0.1048,0.4883806947536603,0.7933393421713273,0.1048,46,-0.3834,0.1914,spearman,small,false,0.0
unlock_count_mean,Q6_score,-0.1816,0.2269999841428217,0.6228657935237635,0.1816,46,-0.4483,0.1147,spearman,small,false,0.0
unlock_count_mean,Q7_score,-0.2695,0.07010978638139109,0.5038110955408924,0.2695,46,-0.5192,0.0226,spearman,small,false,0.0
unlock_count_mean,Q8_score,-0.3489,0.017479261462078018,0.3787178005233658,0.3489,46,-0.5804,-0.0652,spearman,medium,false,1.0
unlock_count_mean,Q9_score,-0.1045,0.489460208756747,0.7933393421713273,0.1045,46,-0.3832,0.1916,spearman,small,false,0.0
unlock_count_std,total_score,0.0465,0.7591011430838809,0.9408138810480173,0.0465,46,-0.2472,0.3323,spearman,negligible,false,0.0
unlock_count_std,Q1_score,0.0532,0.725417029585355,0.9408138810480173,0.0532,46,-0.2408,0.3383,spearman,negligible,false,0.0
unlock_count_std,Q2_score,0.1888,0.20893475346236398,0.6181811951345594,0.1888,46,-0.1074,0.4542,spearman,small,false,0.0
unlock_count_std,Q3_score,0.042,0.7817719076432861,0.94565083106052,0.042,46,-0.2514,0.3283,spearman,negligible,false,0.0
unlock_count_std,Q4_score,-0.0622,0.6814359939794761,0.9315454599126497,0.0622,46,-0.3462,0.2323,spearman,negligible,false,0.0
unlock_count_std,Q5_score,0.233,0.11916686365909002,0.5953541125090054,0.233,46,-0.0615,0.4901,spearman,small,false,0.0
unlock_count_std,Q6_score,0.048,0.7513018735988486,0.9408138810480173,0.048,46,-0.2457,0.3337,spearman,negligible,false,0.0
unlock_count_std,Q7_score,-0.0065,0.9658236959042634,0.988856307388492,0.0065,46,-0.2962,0.2843,spearman,negligible,false,0.0
unlock_count_std,Q8_score,-0.1934,0.19776189883494763,0.6181811951345594,0.1934,46,-0.458,0.1026,spearman,small,false,0.0
unlock_count_std,Q9_score,0.0676,0.6551062535120649,0.9292287283859076,0.0676,46,-0.2271,0.351,spearman,negligible,false,0.0
screen_time_mean,total_score,-0.1248,0.4087193003436681,0.7668290074742448,0.1248,46,-0.4006,0.1718,spearman,small,false,0.0
screen_time_mean,Q1_score,-0.0196,0.8969552277149644,0.9644679867902842,0.0196,46,-0.3082,0.2722,spearman,negligible,false,0.0
screen_time_mean,Q2_score,0.0031,0.9839120258515495,0.988856307388492,0.0031,46,-0.2875,0.2931,spearman,negligible,false,0.0
screen_time_mean,Q3_score,-0.0099,0.9480531468297123,0.9866594263870705,0.0099,46,-0.2993,0.2812,spearman,negligible,false,0.0
screen_time_mean,Q4_score,-0.0516,0.7334162054121611,0.9408138810480173,0.0516,46,-0.3369,0.2423,spearman,negligible,false,0.0
screen_time_mean,Q5_score,-0.0256,0.8656468407687734,0.9627372374538287,0.0256,46,-0.3136,0.2666,spearman,negligible,false,0.0
screen_time_mean,Q6_score,-0.2104,0.16054742418723478,0.5953541125090054,0.2104,46,-0.4718,0.0851,spearman,small,false,0.0
screen_time_mean,Q7_score,-0.1796,0.23233225463025572,0.6228657935237635,0.1796,46,-0.4466,0.1168,spearman,small,false,0.0
screen_time_mean,Q8_score,-0.2944,0.04700866173218972,0.4258200201998237,0.2944,46,-0.5387,-0.0045,spearman,small,false,0.0
screen_time_mean,Q9_score,-0.155,0.3037523354861936,0.6750051899693191,0.155,46,-0.4261,0.1417,spearman,small,false,0.0
screen_time_std,total_score,-0.0503,0.7401407822515219,0.9408138810480173,0.0503,46,-0.3357,0.2436,spearman,negligible,false,0.0
screen_time_std,Q1_score,-0.1276,0.398257793789093,0.7668290074742448,0.1276,46,-0.4029,0.169,spearman,small,false,0.0
screen_time_std,Q2_score,-0.0092,0.9517613273006724,0.9866594263870705,0.0092,46,-0.2987,0.2819,spearman,negligible,false,0.0
screen_time_std,Q3_score,-0.0293,0.8467309639356073,0.9627372374538287,0.0293,46,-0.3169,0.2632,spearman,negligible,false,0.0
screen_time_std,Q4_score,-0.0131,0.9313978243361718,0.9866594263870705,0.0131,46,-0.3022,0.2783,spearman,negligible,false,0.0
screen_time_std,Q5_score,0.0548,0.7174960321169425,0.9408138810480173,0.0548,46,-0.2393,0.3397,spearman,negligible,false,0.0
screen_time_std,Q6_score,-0.1927,0.19947178191854173,0.6181811951345594,0.1927,46,-0.4574,0.1034,spearman,small,false,0.0
screen_time_std,Q7_score,-0.0644,0.670735842724693,0.9315454599126497,0.0644,46,-0.3482,0.2302,spearman,negligible,false,0.0
screen_time_std,Q8_score,-0.1232,0.41480416570838674,0.7668290074742448,0.1232,46,-0.3992,0.1733,spearman,small,false,0.0
screen_time_std,Q9_score,0.0247,0.870380103790123,0.9627372374538287,0.0247,46,-0.2675,0.3128,spearman,negligible,false,0.0
session_duration_mean_mean,total_score,0.0488,0.7472725639209614,0.9408138810480173,0.0488,46,-0.2449,0.3344,spearman,negligible,false,0.0
session_duration_mean_mean,Q1_score,-0.0236,0.8764926506893731,0.9631787370212891,0.0236,46,-0.3117,0.2686,spearman,negligible,false,0.0
session_duration_mean_mean,Q2_score,0.0091,0.952126346463523,0.9866594263870705,0.0091,46,-0.2819,0.2986,spearman,negligible,false,0.0
session_duration_mean_mean,Q3_score,0.0528,0.727506139139514,0.9408138810480173,0.0528,46,-0.2412,0.3379,spearman,negligible,false,0.0
session_duration_mean_mean,Q4_score,-0.0279,0.8539190880035455,0.9627372374538287,0.0279,46,-0.3157,0.2645,spearman,negligible,false,0.0
session_duration_mean_mean,Q5_score,0.0912,0.5468574121767996,0.8348968124836635,0.0912,46,-0.2046,0.3716,spearman,negligible,false,0.0
session_duration_mean_mean,Q6_score,-0.0817,0.5892967083405904,0.8666128063832211,0.0817,46,-0.3634,0.2137,spearman,negligible,false,0.0
session_duration_mean_mean,Q7_score,0.1146,0.44833224361921165,0.7920804676674179,0.1146,46,-0.1818,0.3918,spearman,small,false,0.0
session_duration_mean_mean,Q8_score,-0.0031,0.9837291271450334,0.988856307388492,0.0031,46,-0.2931,0.2875,spearman,negligible,false,0.0
session_duration_mean_mean,Q9_score,-0.0525,0.7289531389521375,0.9408138810480173,0.0525,46,-0.3377,0.2415,spearman,negligible,false,0.0
session_duration_mean_std,total_score,0.0737,0.6263998346226439,0.9012947260757467,0.0737,46,-0.2213,0.3564,spearman,negligible,false,0.0
session_duration_mean_std,Q1_score,-0.0565,0.7090305580748812,0.9408138810480173,0.0565,46,-0.3412,0.2377,spearman,negligible,false,0.0
session_duration_mean_std,Q2_score,-0.0098,0.9484766033675933,0.9866594263870705,0.0098,46,-0.2992,0.2813,spearman,negligible,false,0.0
session_duration_mean_std,Q3_score,0.0211,0.8893553443719372,0.9644679867902842,0.0211,46,-0.2709,0.3095,spearman,negligible,false,0.0
session_duration_mean_std,Q4_score,0.0246,0.871277199895715,0.9627372374538287,0.0246,46,-0.2676,0.3126,spearman,negligible,false,0.0
session_duration_mean_std,Q5_score,0.0619,0.6826912706785173,0.9315454599126497,0.0619,46,-0.2326,0.346,spearman,negligible,false,0.0
session_duration_mean_std,Q6_score,0.0526,0.7282564619263459,0.9408138810480173,0.0526,46,-0.2413,0.3378,spearman,negligible,false,0.0
session_duration_mean_std,Q7_score,0.2044,0.17290489603371698,0.5962237794266103,0.2044,46,-0.0913,0.467,spearman,small,false,0.0
session_duration_mean_std,Q8_score,0.1397,0.3546166109801935,0.7531761529527091,0.1397,46,-0.157,0.4132,spearman,small,false,0.0
session_duration_mean_std,Q9_score,-0.0268,0.8599005540085296,0.9627372374538287,0.0268,46,-0.3146,0.2656,spearman,negligible,false,0.0
session_duration_std_mean,total_score,-0.1797,0.23215940470380542,0.6228657935237635,0.1797,46,-0.4467,0.1167,spearman,small,false,0.0
session_duration_std_mean,Q1_score,-0.0414,0.7848901897802315,0.94565083106052,0.0414,46,-0.3277,0.252,spearman,negligible,false,0.0
session_duration_std_mean,Q2_score,-0.0096,0.9495714200899946,0.9866594263870705,0.0096,46,-0.2991,0.2815,spearman,negligible,false,0.0
session_duration_std_mean,Q3_score,-0.027,0.8584753862401227,0.9627372374538287,0.027,46,-0.3149,0.2653,spearman,negligible,false,0.0
session_duration_std_mean,Q4_score,-0.0789,0.6021694625752856,0.8727093660511386,0.0789,46,-0.3609,0.2163,spearman,negligible,false,0.0
session_duration_std_mean,Q5_score,-0.1295,0.3911884526593419,0.7668290074742448,0.1295,46,-0.4046,0.1671,spearman,small,false,0.0
session_duration_std_mean,Q6_score,-0.1954,0.1930862808459743,0.6181811951345594,0.1954,46,-0.4596,0.1006,spearman,small,false,0.0
session_duration_std_mean,Q7_score,-0.1855,0.21721105664430515,0.6228657935237635,0.1855,46,-0.4515,0.1108,spearman,small,false,0.0
session_duration_std_mean,Q8_score,-0.2458,0.09962172449909362,0.5534540249949645,0.2458,46,-0.5004,0.0479,spearman,small,false,0.0
session_duration_std_mean,Q9_score,-0.1363,0.36640938833238235,0.7554832749121285,0.1363,46,-0.4104,0.1603,spearman,small,false,0.0
session_duration_std_std,total_score,-0.0631,0.6769867206117892,0.9315454599126497,0.0631,46,-0.347,0.2314,spearman,negligible,false,0.0
session_duration_std_std,Q1_score,-0.1503,0.31876760049625447,0.6855217214973214,0.1503,46,-0.4222,0.1464,spearman,small,false,0.0
session_duration_std_std,Q2_score,-0.0318,0.8337078874350603,0.9627372374538287,0.0318,46,-0.3192,0.2609,spearman,negligible,false,0.0
session_duration_std_std,Q3_score,0.1142,0.4498489910728011,0.7920804676674179,0.1142,46,-0.1821,0.3915,spearman,small,false,0.0
session_duration_std_std,Q4_score,-0.0615,0.6846859130357975,0.9315454599126497,0.0615,46,-0.3456,0.2329,spearman,negligible,false,0.0
session_duration_std_std,Q5_score,-0.0269,0.8593287356889647,0.9627372374538287,0.0269,46,-0.3147,0.2655,spearman,negligible,false,0.0
session_duration_std_std,Q6_score,-0.0703,0.642460449826135,0.9178006426087644,0.0703,46,-0.3534,0.2246,spearman,negligible,false,0.0
session_duration_std_std,Q7_score,-0.0825,0.5856014602396575,0.8666128063832211,0.0825,46,-0.3641,0.2129,spearman,negligible,false,0.0
session_duration_std_std,Q8_score,-0.0505,0.7388979269660805,0.9408138810480173,0.0505,46,-0.3359,0.2434,spearman,negligible,false,0.0
session_duration_std_std,Q9_score,-0.103,0.49583708885707956,0.7933393421713273,0.103,46,-0.3819,0.1931,spearman,small,false,0.0
night_usage_ratio_mean,total_score,-0.2639,0.07641012385412149,0.5269663714077345,0.2639,46,-0.5147,0.0286,spearman,small,false,0.0
night_usage_ratio_mean,Q1_score,-0.3685,0.011739432060687883,0.3787178005233658,0.3685,46,-0.5951,-0.0876,spearman,medium,false,1.0
night_usage_ratio_mean,Q2_score,-0.2691,0.07053355337572495,0.5038110955408924,0.2691,46,-0.5189,0.023,spearman,small,false,0.0
night_usage_ratio_mean,Q3_score,-0.1757,0.24291765947426777,0.6228657935237635,0.1757,46,-0.4434,0.1208,spearman,small,false,0.0
night_usage_ratio_mean,Q4_score,-0.1109,0.4631010130521126,0.7920804676674179,0.1109,46,-0.3887,0.1854,spearman,small,false,0.0
night_usage_ratio_mean,Q5_score,-0.207,0.1674766608804041,0.5953541125090054,0.207,46,-0.4691,0.0886,spearman,small,false,0.0
night_usage_ratio_mean,Q6_score,-0.223,0.13632070017761716,0.5953541125090054,0.223,46,-0.4821,0.072,spearman,small,false,0.0
night_usage_ratio_mean,Q7_score,-0.3187,0.03085362565502247,0.3787178005233658,0.3187,46,-0.5575,-0.0313,spearman,medium,false,1.0
night_usage_ratio_mean,Q8_score,-0.0948,0.5307721818016039,0.8229026074443471,0.0948,46,-0.3748,0.201,spearman,negligible,false,0.0
night_usage_ratio_mean,Q9_score,-0.0394,0.7950101902997063,0.9464407027377456,0.0394,46,-0.3259,0.2538,spearman,negligible,false,0.0
night_usage_ratio_std,total_score,-0.1363,0.3663919964351938,0.7554832749121285,0.1363,46,-0.4104,0.1603,spearman,small,false,0.0
night_usage_ratio_std,Q1_score,-0.3077,0.03749915425699303,0.39472793954729507,0.3077,46,-0.549,-0.0191,spearman,medium,false,1.0
night_usage_ratio_std,Q2_score,-0.2289,0.12590199063662239,0.5953541125090054,0.2289,46,-0.4869,0.0657,spearman,small,false,0.0
night_usage_ratio_std,Q3_score,-0.1049,0.4880106961735936,0.7933393421713273,0.1049,46,-0.3835,0.1913,spearman,small,false,0.0
night_usage_ratio_std,Q4_score,-0.0793,0.6003171558413762,0.8727093660511386,0.0793,46,-0.3613,0.216,spearman,negligible,false,0.0
night_usage_ratio_std,Q5_score,-0.1565,0.29910766402300687,0.6750051899693191,0.1565,46,-0.4273,0.1402,spearman,small,false,0.0
night_usage_ratio_std,Q6_score,-0.1942,0.19594157544347685,0.6181811951345594,0.1942,46,-0.4586,0.1018,spearman,small,false,0.0
night_usage_ratio_std,Q7_score,-0.1093,0.4696648562134115,0.7920804676674179,0.1093,46,-0.3873,0.1869,spearman,small,false,0.0
night_usage_ratio_std,Q8_score,0.1036,0.4933175521063814,0.7933393421713273,0.1036,46,-0.1925,0.3824,spearman,small,false,0.0
